Price,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Cumulative_Return,Rolling_17d_Return
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,,,
Date,,,,,,,,,
8/1/00,91.34615326,143.875,144.71875,143.125,143.625,3946600,0.006118767,-0.005894511,-0.028487261
8/2/00,91.80249786,144.59375,145.40625,143.625,143.875,7439800,0.004995773,-0.000928186,-0.021982904
8/3/00,92.43741608,145.59375,145.8125,142.625,142.875,4607100,0.006916132,0.005981526,-0.017296168
8/4/00,92.93344879,146.375,146.71875,145.40625,146.3125,3686600,0.005366146,0.01137977,-0.018440404
8/7/00,94.04454803,148.125,148.4375,146.375,146.71875,4159800,0.011955859,0.023471685,-0.011057781
8/8/00,94.40158844,148.6875,148.8125,147.5,147.5,3658700,0.003796503,0.027357298,-0.016942626
8/9/00,93.60801697,147.4375,149.21875,147.375,149.140625,5383800,-0.008406336,0.018720987,-0.023592903
8/10/00,93.15166473,146.71875,147.859375,146.28125,147.53125,4193400,-0.00487514,0.013754579,-0.020344329
8/11/00,93.58815765,147.40625,148,145.5625,146.625,5089400,0.004685831,0.018504862,-0.007783217
8/14/00,94.77861786,149.28125,149.5625,147.0625,147.78125,2966700,0.012720201,0.031460449,-0.008920797
8/15/00,94.69921112,149.15625,149.8125,148.5625,149.34375,5564600,-0.000837813,0.030596278,0.009944759
8/16/00,94.36195374,148.625,149.9375,147.84375,149.3125,5191600,-0.003561354,0.02692596,0.0121303
8/17/00,95.35398102,150.1875,150.4375,148.34375,148.6875,5652200,0.010513001,0.037722033,0.019516378
8/18/00,95.03652954,149.6875,150.375,149.21875,150.375,4626400,-0.00332919,0.03426726,0.026135311
8/21/00,95.55232239,150.5,150.71875,149.40625,150.03125,2380600,0.005427311,0.03988055,0.035253252
8/22/00,95.39366913,150.25,151.3125,150.09375,150.5625,3075300,-0.001660381,0.038153953,0.057400729
8/23/00,95.77060699,150.84375,151.28125,149.28125,149.8125,5483200,0.003951393,0.042256107,0.054851262
8/24/00,96.06826019,151.3125,151.5,150.5,151.15625,4529000,0.003107981,0.045495419,0.051694645
8/25/00,96.02856445,151.25,151.625,150.9375,151.15625,2822200,-0.000413203,0.045063416,0.046034331
8/28/00,96.35591125,151.765625,152.90625,151.25,151.25,5518700,0.003408848,0.048625879,0.042390791
8/29/00,96.37579346,151.796875,151.875,150.90625,151.4375,3561900,0.000206341,0.048842254,0.037040965
8/30/00,95.45319366,150.34375,151.5,150.34375,151.3125,3964800,-0.009572941,0.038801749,0.014978493
8/31/00,96.72298431,152.34375,153.09375,150.90625,151.0625,4863100,0.013302757,0.052620676,0.024590644
9/1/00,96.82218933,152.5,153.59375,152,153.25,3191200,0.001025661,0.053700308,0.034336507
9/5/00,96.04841614,151.28125,152.203125,150.8125,151.875,3470800,-0.007991693,0.045279459,0.031097151
9/6/00,94.95717621,149.5625,151.953125,149.53125,151.1875,4322200,-0.011361353,0.03340367,0.014628117
9/7/00,95.77060699,150.84375,151.078125,149.828125,150.25,4265500,0.008566291,0.042256107,0.010466381
9/8/00,95.11588287,149.8125,150.5,149.328125,150.28125,3518200,-0.006836379,0.035130849,0.00439995
9/11/00,94.97698212,149.59375,151.1875,148.6875,149.75,3937500,-0.001460332,0.033619215,0.006517758
9/12/00,94.28256226,148.5,150.25,148.4375,149.75,4769100,-0.007311454,0.026061955,-0.011236225
9/13/00,94.53059387,148.890625,149.34375,147.65625,148,7691600,0.002630726,0.028761243,-0.005323592
9/14/00,95.00678253,149.640625,149.9375,148.15625,149.875,3397100,0.005037403,0.033943528,-0.005709331
9/15/00,92.92816925,146,148.25,146,148.1875,4085700,-0.021878578,0.011322314,-0.025845529
9/18/00,92.07294464,144.65625,146.96875,144.203125,146.375,5109300,-0.009203072,0.002015042,-0.038609574
9/19/00,92.90831757,145.96875,146.3125,144.703125,145.125,6588200,0.009072947,0.011106271,-0.032892681
