Spot Move(%),scenario,S_0,S_t,put_long_iv_0,Change_in_put_long_iv (%),put_long_iv_t,put_short_iv_0,Change_in_put_short_iv (%),put_short_iv_t,call_iv_0,Change_in_call_iv (%),call_iv_t,V_p_long_0,Change_in_put_long_price (%),V_p_long_t,V_p_short_0,Change_in_put_short_price (%),V_p_short_t,V_c_0,Change_in_call_price (%),V_c_t,pnl_dollars,pnl_percentage,avg_pnl_for_spot_move
-2.5,vol_collapse,543.37,529.79,0.3903,4.0,0.4059,0.3233,2.0,0.3297,0.2109,0.0,0.2109,4.425,-84.3954,0.6905,8.475,-51.6934,4.094,4.225,-99.3387,0.0279,-337425.68,-83.31,"-353,707.32"
-2.5,normal_decline,543.37,529.79,0.3903,7.0,0.4176,0.3233,4.0,0.3362,0.2109,1.0,0.2131,4.425,-82.2015,0.7876,8.475,-49.8481,4.2504,4.225,-99.2789,0.0305,-343114.48,-84.72,"-353,707.32"
-2.5,mixed_regime,543.37,529.79,0.3903,13.0,0.441,0.3233,9.0,0.3524,0.2109,3.0,0.2173,4.425,-77.3626,1.0017,8.475,-45.1131,4.6517,4.225,-99.1426,0.0362,-361279.78,-89.2,"-353,707.32"
-2.5,persistent_vol,543.37,529.79,0.3903,18.0,0.4605,0.3233,13.0,0.3653,0.2109,5.0,0.2215,4.425,-72.8928,1.1995,8.475,-41.3227,4.9729,4.225,-98.9905,0.0427,-373009.32,-92.1,"-353,707.32"
-5.0,vol_collapse,543.37,516.2,0.3903,9.0,0.4254,0.3233,5.0,0.3394,0.2109,2.0,0.2152,4.425,-51.3432,2.1531,8.475,11.3636,9.4381,4.225,-99.9626,0.0016,-728102.84,-179.78,"-737,077.45"
-5.0,normal_decline,543.37,516.2,0.3903,13.0,0.441,0.3233,9.0,0.3524,0.2109,3.0,0.2173,4.425,-45.7445,2.4008,8.475,15.708,9.8063,4.225,-99.9574,0.0018,-740127.34,-182.75,"-737,077.45"
-5.0,mixed_regime,543.37,516.2,0.3903,20.0,0.4683,0.3233,14.0,0.3685,0.2109,5.0,0.2215,4.425,-35.3823,2.8593,8.475,21.1386,10.2665,4.225,-99.9447,0.0023,-740247.41,-182.78,"-737,077.45"
-5.0,persistent_vol,543.37,516.2,0.3903,28.0,0.4995,0.3233,20.0,0.3879,0.2109,8.0,0.2278,4.425,-22.8303,3.4148,8.475,27.6553,10.8188,4.225,-99.9196,0.0034,-739832.21,-182.67,"-737,077.45"
-10.0,vol_collapse,543.37,489.03,0.3903,10.0,0.4293,0.3233,6.0,0.3427,0.2109,2.0,0.2152,4.425,115.2558,9.5251,8.475,234.01,28.3073,4.225,-100.0,0.0,-1877981.95,-463.7,"-1,779,460.76"
-10.0,normal_decline,543.37,489.03,0.3903,22.0,0.4761,0.3233,16.0,0.375,0.2109,5.0,0.2215,4.425,143.3429,10.7679,8.475,239.8939,28.806,4.225,-100.0,0.0,-1803562.45,-445.32,"-1,779,460.76"
-10.0,mixed_regime,543.37,489.03,0.3903,32.0,0.5152,0.3233,24.0,0.4009,0.2109,8.0,0.2278,4.425,166.9224,11.8113,8.475,245.0173,29.2402,4.225,-100.0,0.0,-1742644.46,-430.28,"-1,779,460.76"
-10.0,persistent_vol,543.37,489.03,0.3903,40.0,0.5464,0.3233,30.0,0.4203,0.2109,12.0,0.2363,4.425,185.7869,12.6461,8.475,249.0864,29.5851,4.225,-99.9999,0.0,-1693654.2,-418.19,"-1,779,460.76"
-15.0,vol_collapse,543.37,461.86,0.3903,13.0,0.441,0.3233,8.0,0.3491,0.2109,3.0,0.2173,4.425,497.0954,26.4215,8.475,538.8277,54.1406,4.225,-100.0,0.0,-2771671.96,-684.36,"-2,621,227.78"
-15.0,normal_decline,543.37,461.86,0.3903,30.0,0.5074,0.3233,22.0,0.3944,0.2109,7.0,0.2257,4.425,526.7096,27.7319,8.475,539.7051,54.215,4.225,-100.0,0.0,-2648065.37,-653.84,"-2,621,227.78"
-15.0,mixed_regime,543.37,461.86,0.3903,42.0,0.5542,0.3233,32.0,0.4267,0.2109,11.0,0.2341,4.425,548.9292,28.7151,8.475,540.9844,54.3234,4.225,-100.0,0.0,-2560585.66,-632.24,"-2,621,227.78"
-15.0,persistent_vol,543.37,461.86,0.3903,50.0,0.5854,0.3233,40.0,0.4526,0.2109,16.0,0.2447,4.425,564.2672,29.3938,8.475,542.3854,54.4422,4.225,-100.0,0.0,-2504588.12,-618.42,"-2,621,227.78"
