,c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id,is_settlement
43,2025-04-09,SPY   250509P00507000,30,627,2025-05-09,P,507.0,29.27,29.81,6.34,6.895,23,430,0.341182,-0.216554,0.341182,0.005563,-0.250221,0.469449,-0.092597,7.07,6.72,543.37,6.6899999999999995,138102008,0
44,2025-04-09,SPY   250509P00508000,30,627,2025-05-09,P,508.0,26.66,26.66,6.09,7.09,57,25,0.339862,-0.221854,0.339862,0.005661,-0.252483,0.476352,-0.094685,7.31,6.87,543.37,6.51,138102010,0
45,2025-04-09,SPY   250509P00509000,30,627,2025-05-09,P,509.0,28.08,30.99,6.88,7.145,39,94,0.335479,-0.225446,0.335479,0.005786,-0.251211,0.476938,-0.096088,7.27,7.02,543.37,6.33,138102012,0
46,2025-04-09,SPY   250509P00510000,30,627,2025-05-09,P,510.0,32.03,32.03,6.42,7.4049997,1016,1905,0.3354,-0.231668,0.3354,0.005875,-0.254807,0.477835,-0.098704,7.63,7.18,543.37,6.14,137973688,0
47,2025-04-09,SPY   250509P00511000,30,627,2025-05-09,P,511.0,10.01,10.01,6.87,7.575,4,32,0.333436,-0.236825,0.333436,0.005983,-0.256268,0.478649,-0.100841,7.8,7.35,543.37,5.96,138102014,0
48,2025-04-09,SPY   250509P00512000,30,627,2025-05-09,P,512.0,29.82,30.06,9.57,7.75,17,10,0.331578,-0.242104,0.331578,0.006093,-0.257848,0.479748,-0.102962,7.97,7.53,543.37,5.77,138102016,0
49,2025-04-09,SPY   250509P00513000,30,627,2025-05-09,P,513.0,13.52,13.52,10.4,7.9249997,104,26,0.329718,-0.247447,0.329718,0.006204,-0.259423,0.497151,-0.104982,8.15,7.7,543.37,5.59,138102018,0
50,2025-04-09,SPY   250509P00514000,30,627,2025-05-09,P,514.0,26.93,26.93,7.38,8.059999,163,15,0.326778,-0.252403,0.326778,0.006327,-0.259627,0.509862,-0.106732,8.24,7.88,543.37,5.41,138102020,0
51,2025-04-09,SPY   250509P00515000,30,627,2025-05-09,P,515.0,33.68,34.56,7.44,8.26,227,778,0.324883,-0.25816,0.324883,0.006436,-0.260834,0.510681,-0.109063,8.46,8.06,543.37,5.22,137973690,0
52,2025-04-09,SPY   250509P00516000,30,627,2025-05-09,P,516.0,33.89,33.89,7.75,8.475,12,68,0.323284,-0.264147,0.323284,0.006544,-0.262369,0.51151,-0.111529,8.71,8.24,543.37,5.04,138102022,0
53,2025-04-09,SPY   250509P00517000,30,627,2025-05-09,P,517.0,33.53,33.53,13.42,8.66,5,24,0.321101,-0.269884,0.321101,0.006662,-0.263253,0.512437,-0.113801,8.89,8.43,543.37,4.85,138102024,0
54,2025-04-09,SPY   250509P00518000,30,627,2025-05-09,P,518.0,31.92,33.36,8.26,8.845,36,140,0.31892,-0.275703,0.31892,0.006783,-0.264136,0.513786,-0.116003,9.1,8.59,543.37,4.67,138102026,0
55,2025-04-09,SPY   250509P00519000,30,627,2025-05-09,P,519.0,34.18,35.47,9.23,9.05,29,36,0.317113,-0.281809,0.317113,0.0069,-0.265432,0.537273,-0.118222,9.31,8.79,543.37,4.48,138102028,0
56,2025-04-09,SPY   250509P00520000,30,627,2025-05-09,P,520.0,33.0,36.87,8.1,9.265,803,1882,0.315007,-0.288074,0.315007,0.007016,-0.266036,0.540731,-0.120588,9.47,9.06,543.37,4.3,137973692,0
57,2025-04-09,SPY   250509P00521000,30,627,2025-05-09,P,521.0,33.67,33.67,9.15,9.42,11,24,0.311748,-0.293864,0.311748,0.007154,-0.265348,0.541577,-0.122815,9.63,9.21,543.37,4.12,138102030,0
58,2025-04-09,SPY   250509P00522000,30,627,2025-05-09,P,522.0,35.44,35.44,9.05,9.68,142,55,0.310432,-0.300727,0.310432,0.007261,-0.266765,0.542484,-0.125632,9.89,9.47,543.37,3.93,138102032,0
59,2025-04-09,SPY   250509P00523000,30,627,2025-05-09,P,523.0,37.21,37.39,11.4,9.905,74,20,0.30847,-0.307352,0.30847,0.007382,-0.267481,0.543483,-0.128168,10.12,9.69,543.37,3.75,138102034,0
60,2025-04-09,SPY   250509P00524000,30,627,2025-05-09,P,524.0,32.39,32.39,12.25,10.16,28,7,0.307056,-0.314317,0.307056,0.007494,-0.268792,0.547265,-0.1308,10.44,9.88,543.37,3.56,138102036,0
61,2025-04-09,SPY   250509P00525000,30,627,2025-05-09,P,525.0,38.36,39.61,9.06,10.37,186,370,0.304604,-0.320995,0.304604,0.007625,-0.268797,0.566743,-0.132917,10.58,10.16,543.37,3.38,137937880,0
62,2025-04-09,SPY   250509P00526000,30,627,2025-05-09,P,526.0,18.46,19.0,10.38,10.625,20,11,0.302621,-0.328117,0.302621,0.007741,-0.269004,0.567707,-0.135656,10.9,10.35,543.37,3.2,138102038,0
63,2025-04-09,SPY   250509P00527000,30,627,2025-05-09,P,527.0,18.77,19.89,9.72,10.860001,19,9,0.300287,-0.335193,0.300287,0.007868,-0.268838,0.568601,-0.138454,11.12,10.6,543.37,3.01,138063658,0
64,2025-04-09,SPY   250509P00528000,30,627,2025-05-09,P,528.0,39.99,39.99,9.95,11.110001,25,7,0.298218,-0.342488,0.298218,0.007992,-0.268952,0.569617,-0.141161,11.37,10.85,543.37,2.83,138063660,0
65,2025-04-09,SPY   250509P00529000,30,627,2025-05-09,P,529.0,22.32,22.32,10.93,11.335,29,9,0.295709,-0.34973,0.295709,0.008129,-0.268594,0.571074,-0.14376,11.56,11.11,543.37,2.64,138063662,0
66,2025-04-09,SPY   250509P00530000,30,627,2025-05-09,P,530.0,42.28,43.0,10.52,11.684999,302,459,0.295154,-0.357869,0.295154,0.008215,-0.270101,0.588448,-0.146398,11.93,11.44,543.37,2.46,137937882,0
67,2025-04-09,SPY   250509P00531000,30,627,2025-05-09,P,531.0,40.63,41.15,10.91,11.92,54,8,0.292266,-0.365381,0.292266,0.008352,-0.268809,0.589409,-0.149137,12.2,11.64,543.37,2.2800000000000002,138063664,0
68,2025-04-09,SPY   250509P00532000,30,627,2025-05-09,P,532.0,39.13,39.13,12.14,12.18,53,5,0.289805,-0.373182,0.289805,0.008482,-0.267956,0.590345,-0.152155,12.44,11.92,543.37,2.09,138063666,0
69,2025-04-09,SPY   250509P00533000,30,627,2025-05-09,P,533.0,22.04,22.04,11.35,12.45,385,8,0.287515,-0.381173,0.287515,0.008611,-0.267281,0.591374,-0.15498,12.69,12.21,543.37,1.9100000000000001,138063668,0
70,2025-04-09,SPY   250509P00534000,30,627,2025-05-09,P,534.0,45.48,46.17,12.0,12.764999,146,3,0.285979,-0.389505,0.285979,0.00872,-0.267391,0.592773,-0.157877,13.03,12.5,543.37,1.72,138063670,0
71,2025-04-09,SPY   250509P00535000,30,627,2025-05-09,P,535.0,42.81,43.95,11.57,13.125,336,657,0.2849,-0.398111,0.2849,0.00881,-0.267669,0.604853,-0.160487,13.37,12.88,543.37,1.54,137937884,0
72,2025-04-09,SPY   250509P00536000,30,627,2025-05-09,P,536.0,45.77,45.77,12.37,13.41,220,29,0.282281,-0.406518,0.282281,0.008938,-0.266046,0.605827,-0.16354,13.69,13.13,543.37,1.3599999999999999,138063672,0
73,2025-04-09,SPY   250509P00537000,30,627,2025-05-09,P,537.0,17.79,18.46,13.44,13.695,77,5,0.279664,-0.415091,0.279664,0.009069,-0.264424,0.606804,-0.166591,13.96,13.43,543.37,1.17,138063674,0
74,2025-04-09,SPY   250509P00538000,30,627,2025-05-09,P,538.0,18.19,19.1,13.56,14.035,18,16,0.277952,-0.423979,0.277952,0.009175,-0.263731,0.607869,-0.169555,14.3,13.77,543.37,0.99,138063676,0
75,2025-04-09,SPY   250509P00539000,30,627,2025-05-09,P,539.0,49.71,50.1,13.51,14.370001,60,5,0.276131,-0.432989,0.276131,0.009285,-0.262906,0.61313,-0.17208,14.64,14.1,543.37,0.8,138063678,0
76,2025-04-09,SPY   250509P00540000,30,627,2025-05-09,P,540.0,48.94,49.74,13.47,14.69,365,684,0.273516,-0.442084,0.273516,0.009405,-0.260653,0.615657,-0.175068,14.94,14.44,543.37,0.62,137937886,0
77,2025-04-09,SPY   250509P00541000,30,627,2025-05-09,P,541.0,19.58,19.94,13.97,15.035,79,6,0.27128,-0.451388,0.27128,0.009514,-0.258757,0.616631,-0.17839,15.28,14.79,543.37,0.44,138063680,0
78,2025-04-09,SPY   250509P00542000,30,627,2025-05-09,P,542.0,26.41,26.41,14.47,15.434999,55,4,0.269933,-0.460887,0.269933,0.009594,-0.257773,0.617616,-0.181463,15.72,15.15,543.37,0.25,138063682,0
79,2025-04-09,SPY   250509P00543000,30,627,2025-05-09,P,543.0,19.18,20.89,14.86,15.805,27,13,0.268086,-0.470509,0.268086,0.009693,-0.256269,0.618578,-0.184297,16.09,15.52,543.37,0.07,138063684,0
