,c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id,is_settlement
44,2025-04-08,SPY   250509P00508000,31,627,2025-05-09,P,508.0,15.24,28.5,13.87,28.38,51,5,0.398367,-0.545736,0.398367,0.007017,-0.340585,0.577097,-0.203617,28.55,28.21,496.74,-2.27,138102010,0
45,2025-04-08,SPY   250509P00509000,31,627,2025-05-09,P,509.0,15.16,33.09,13.0,28.865,89,91,0.396391,-0.553032,0.396391,0.007038,-0.337508,0.567359,-0.205328,29.05,28.68,496.74,-2.4699999999999998,138102012,0
46,2025-04-08,SPY   250509P00510000,31,627,2025-05-09,P,510.0,15.0,34.34,13.26,28.905,317,1861,0.386357,-0.56256,0.386357,0.0072,-0.32642,0.568014,-0.207285,30.19,27.62,496.74,-2.67,137973688,0
47,2025-04-08,SPY   250509P00511000,31,627,2025-05-09,P,511.0,14.1,26.2,14.1,29.349998,31,4,0.383456,-0.5704,0.383456,0.007235,-0.322219,0.568656,-0.209357,30.97,27.73,496.74,-2.87,138102014,0
48,2025-04-08,SPY   250509P00512000,31,627,2025-05-09,P,512.0,16.6,33.65,14.1,29.994999,31,0,0.384065,-0.577232,0.384065,0.007206,-0.321415,0.569112,-0.211214,31.31,28.68,496.74,-3.07,138102016,0
49,2025-04-08,SPY   250509P00513000,31,627,2025-05-09,P,513.0,16.2,33.03,14.69,30.515,57,4,0.38246,-0.58481,0.38246,0.007217,-0.318456,0.569302,-0.212994,31.81,29.22,496.74,-3.27,138102018,0
50,2025-04-08,SPY   250509P00514000,31,627,2025-05-09,P,514.0,16.68,34.7,14.56,31.060001,40,0,0.381033,-0.592299,0.381033,0.00722,-0.315431,0.55668,-0.214271,32.49,29.63,496.74,-3.4699999999999998,138102020,0
51,2025-04-08,SPY   250509P00515000,31,627,2025-05-09,P,515.0,16.79,34.31,14.65,31.555,284,761,0.37829,-0.600172,0.37829,0.007239,-0.310729,0.554716,-0.216122,32.51,30.6,496.74,-3.68,137973690,0
52,2025-04-08,SPY   250509P00516000,31,627,2025-05-09,P,516.0,17.66,33.4,17.66,31.880001,105,0,0.372479,-0.609423,0.372479,0.007313,-0.302946,0.555178,-0.218028,33.33,30.43,496.74,-3.88,138102022,0
53,2025-04-08,SPY   250509P00517000,31,627,2025-05-09,P,517.0,17.85,37.61,15.5,32.475002,48,1,0.371524,-0.616865,0.371524,0.007299,-0.300017,0.555456,-0.219643,34.08,30.87,496.74,-4.08,138102024,0
54,2025-04-08,SPY   250509P00518000,31,627,2025-05-09,P,518.0,18.89,36.64,15.8,32.835,212,2,0.366314,-0.626314,0.366314,0.007362,-0.292798,0.55512,-0.22106,34.52,31.15,496.74,-4.28,138102026,0
55,2025-04-08,SPY   250509P00519000,31,627,2025-05-09,P,519.0,18.44,37.15,16.22,33.66,88,6,0.369189,-0.631955,0.369189,0.007272,-0.293464,0.540701,-0.222189,35.18,32.14,496.74,-4.48,138102028,0
56,2025-04-08,SPY   250509P00520000,31,627,2025-05-09,P,520.0,18.18,38.81,16.22,34.004997,1101,1362,0.362878,-0.641828,0.362878,0.007338,-0.284444,0.536072,-0.223798,35.28,32.73,496.74,-4.68,137973692,0
57,2025-04-08,SPY   250509P00521000,31,627,2025-05-09,P,521.0,18.76,40.52,17.0,34.835,133,0,0.365604,-0.647369,0.365604,0.007246,-0.284791,0.536438,-0.225447,36.32,33.35,496.74,-4.88,138102030,0
58,2025-04-08,SPY   250509P00522000,31,627,2025-05-09,P,522.0,19.68,32.19,16.9,35.145,113,3,0.358622,-0.658029,0.358622,0.007322,-0.275049,0.536413,-0.2266,36.77,33.52,496.74,-5.09,138102032,0
59,2025-04-08,SPY   250509P00523000,31,627,2025-05-09,P,523.0,17.89,36.75,17.7,35.739998,71,0,0.356923,-0.666053,0.356923,0.007306,-0.270771,0.535729,-0.227563,37.2,34.28,496.74,-5.29,138102034,0
60,2025-04-08,SPY   250509P00524000,31,627,2025-05-09,P,524.0,18.33,27.81,18.0,36.28,46,0,0.353659,-0.674767,0.353659,0.007306,-0.264475,0.512132,-0.228295,37.99,34.57,496.74,-5.49,138102036,0
61,2025-04-08,SPY   250509P00525000,31,627,2025-05-09,P,525.0,20.87,40.12,18.12,36.93,131,354,0.352323,-0.682354,0.352323,0.00727,-0.26011,0.512147,-0.229615,38.21,35.65,496.74,-5.6899999999999995,137937880,0
62,2025-04-08,SPY   250509P00526000,31,627,2025-05-09,P,526.0,19.54,28.6,19.13,37.644997,11,5,0.352244,-0.689226,0.352244,0.007213,-0.257096,0.512181,-0.230676,39.03,36.26,496.74,-5.89,138102038,0
63,2025-04-08,SPY   250509P00527000,31,627,2025-05-09,P,527.0,19.73,27.9,19.73,38.36,6,6,0.352145,-0.696126,0.352145,0.007157,-0.254056,0.511927,-0.231507,39.84,36.88,496.74,-6.09,138063658,0
64,2025-04-08,SPY   250509P00528000,31,627,2025-05-09,P,528.0,21.31,25.55,21.31,39.004997,3,4,0.350636,-0.703982,0.350636,0.007121,-0.249469,0.510499,-0.231824,40.42,37.59,496.74,-6.29,138063660,0
65,2025-04-08,SPY   250509P00529000,31,627,2025-05-09,P,529.0,23.76,41.01,23.47,39.675003,10,0,0.349026,-0.711545,0.349026,0.007077,-0.244432,0.484298,-0.232431,41.13,38.22,496.74,-6.49,138063662,0
66,2025-04-08,SPY   250509P00530000,31,627,2025-05-09,P,530.0,23.6,45.3,20.0,40.144997,204,402,0.343198,-0.722094,0.343198,0.007091,-0.234645,0.483768,-0.233011,41.53,38.76,496.74,-6.7,137937882,0
67,2025-04-08,SPY   250509P00531000,31,627,2025-05-09,P,531.0,20.62,35.36,20.62,40.835,16,4,0.341898,-0.729681,0.341898,0.007038,-0.229897,0.483305,-0.233318,42.22,39.45,496.74,-6.9,138063664,0
68,2025-04-08,SPY   250509P00532000,31,627,2025-05-09,P,532.0,25.33,42.91,25.33,41.519997,4,3,0.34046,-0.737447,0.34046,0.006986,-0.224984,0.482186,-0.233313,43.17,39.87,496.74,-7.1,138063666,0
69,2025-04-08,SPY   250509P00533000,31,627,2025-05-09,P,533.0,25.0,37.75,25.0,42.184998,4,7,0.338213,-0.745623,0.338213,0.006939,-0.218986,0.463797,-0.232865,43.84,40.53,496.74,-7.3,138063668,0
70,2025-04-08,SPY   250509P00534000,31,627,2025-05-09,P,534.0,26.52,42.71,26.52,42.9,3,0,0.336705,-0.753064,0.336705,0.006877,-0.213697,0.451518,-0.233199,44.45,41.35,496.74,-7.5,138063670,0
71,2025-04-08,SPY   250509P00535000,31,627,2025-05-09,P,535.0,26.64,46.49,22.3,43.54,100,663,0.333505,-0.76196,0.333505,0.006833,-0.206443,0.450552,-0.232709,44.68,42.4,496.74,-7.7,137937884,0
72,2025-04-08,SPY   250509P00536000,31,627,2025-05-09,P,536.0,22.54,47.66,22.54,44.394997,27,18,0.335052,-0.767084,0.335052,0.006734,-0.204657,0.449714,-0.232873,45.92,42.87,496.74,-7.9,138063672,0
73,2025-04-08,SPY   250509P00537000,31,627,2025-05-09,P,537.0,,,,44.995003,0,5,0.330594,-0.777028,0.330594,0.006695,-0.195829,0.435049,-0.231156,46.63,43.36,496.74,-8.1,138063674,0
74,2025-04-08,SPY   250509P00538000,31,627,2025-05-09,P,538.0,29.83,29.83,29.83,45.735,1,16,0.328859,-0.78444,0.328859,0.006623,-0.190052,0.416433,-0.23078,47.35,44.12,496.74,-8.31,138063676,0
75,2025-04-08,SPY   250509P00539000,31,627,2025-05-09,P,539.0,51.51,51.51,51.51,46.475,1,5,0.327094,-0.791982,0.327094,0.006548,-0.184219,0.415341,-0.229962,48.08,44.87,496.74,-8.51,138063678,0
76,2025-04-08,SPY   250509P00540000,31,627,2025-05-09,P,540.0,25.58,50.28,25.17,46.88,88,718,0.317098,-0.807236,0.317098,0.006535,-0.168583,0.40976,-0.225236,48.4,45.36,496.74,-8.71,137937886,0
77,2025-04-08,SPY   250509P00541000,31,627,2025-05-09,P,541.0,37.03,37.03,37.03,47.934998,1,5,0.322823,-0.807975,0.322823,0.006396,-0.171604,0.4065,-0.226291,49.53,46.34,496.74,-8.91,138063680,0
